name,type
Keppra,medication
Phenytoin,medication
Dilantin,medication
Baclofen,medication
Lioresal,medication
Cyclobenzaprine,medication
Flexeril,medication
Tizanidine,medication
Zanaflex,medication
Tramadol,medication
Ultram,medication
Oxycodone,medication
OxyContin,medication
Hydrocodone,medication
Vicodin,medication
Norco,medication
Codeine,medication
Morphine,medication
Fentanyl,medication
Duragesic,medication
Naproxen,medication
Aleve,medication
Naprosyn,medication
Celecoxib,medication
Celebrex,medication
Meloxicam,medication
Mobic,medication
Indomethacin,medication
Indocin,medication
Diclofenac,medication
Voltaren,medication
Ketorolac,medication
Toradol,medication
Montelukast,medication
Singulair,medication
Fluticasone,medication
Flonase,medication
Mometasone,medication
Nasonex,medication
Cetirizine,medication
Zyrtec,medication
Loratadine,medication
Claritin,medication
Fexofenadine,medication
Allegra,medication
Diphenhydramine,medication
Benadryl,medication
Ranitidine,medication
Zantac,medication
Famotidine,medication
Pepcid,medication
Esomeprazole,medication
Nexium,medication
Lansoprazole,medication
Prevacid,medication
Dexlansoprazole,medication
Dexilant,medication
Sucralfate,medication
Carafate,medication
Mesalamine,medication
Asacol,medication
Lialda,medication
Sulfasalazine,medication
Azulfidine,medication
Methylprednisolone,medication
Medrol,medication
Dexamethasone,medication
Decadron,medication
Hydrocortisone,medication
Cortef,medication
Liothyronine,medication
Cytomel,medication
Propylthiouracil,medication
PTU,medication
Methimazole,medication
Tapazole,medication
Glipizide,medication
Glucotrol,medication
Glyburide,medication
Diabeta,medication
Glimepiride,medication
Amaryl,medication
Pioglitazone,medication
Actos,medication
Rosiglitazone,medication
Avandia,medication
Sitagliptin,medication
Januvia,medication
Saxagliptin,medication
Onglyza,medication
Linagliptin,medication
Tradjenta,medication
Alogliptin,medication
Nesina,medication
Empagliflozin,medication
Jardiance,medication
Dapagliflozin,medication
Farxiga,medication
Canagliflozin,medication
Invokana,medication
Insulin,medication
Humalog,medication
Novolog,medication
Lantus,medication
Levemir,medication
Tresiba,medication
Toujeo,medication
Digoxin,medication
Lanoxin,medication
Diltiazem,medication
Cardizem,medication
Verapamil,medication
Calan,medication
Carvedilol,medication
Coreg,medication
Bisoprolol,medication
Zebeta,medication
Atenolol,medication
Tenormin,medication
Propranolol,medication
Inderal,medication
Labetalol,medication
Trandate,medication
Clonidine,medication
Catapres,medication
Methyldopa,medication
Aldomet,medication
Hydralazine,medication
Apresoline,medication
Minoxidil,medication
Loniten,medication
Spironolactone,medication
Aldactone,medication
Eplerenone,medication
Inspra,medication
Enalapril,medication
Vasotec,medication
Ramipril,medication
Altace,medication
Benazepril,medication
Lotensin,medication
Quinapril,medication
Accupril,medication
Perindopril,medication
Aceon,medication
Trandolapril,medication
Mavik,medication
Fosinopril,medication
Monopril,medication
Captopril,medication
Capoten,medication
Valsartan,medication
Diovan,medication
Irbesartan,medication
Avapro,medication
Olmesartan,medication
Benicar,medication
Telmisartan,medication
Micardis,medication
Candesartan,medication
Atacand,medication
Eprosartan,medication
Teveten,medication
7-Keto DHEA 100mg,supplement
Diazepam 50mg,medication
Alpha-GPC 250mg,supplement
Lotensin 250mg,medication
SAMe 250mg,supplement
Perindopril 100mg,medication
Shiitake 25mg,supplement
Methylprednisolone 200mg,medication
DHA 200mg,supplement
Phenytoin 1000mg,medication
Iron 100mg,supplement
Montelukast 1000mg,medication
Iodine 200mg,supplement
Lexapro 500mg,medication
DGL 500mg,supplement
Valium 250mg,medication
Collagen 100mg,supplement
Paroxetine 50mg,medication
Monolaurin 50mg,supplement
Advil 1000mg,medication
Magnesium 250mg,supplement
Avapro 200mg,medication
MCT Oil 25mg,supplement
Desyrel 200mg,medication
Diosmin 25mg,supplement
Catapres 100mg,medication
Astragalus 1000mg,supplement
Lanoxin 100mg,medication
Turkey Tail 50mg,supplement
Zyprexa 250mg,medication
Ginseng 100mg,supplement
Lotensin 50mg,medication
Vitamin C 25mg,supplement
Mobic 250mg,medication
Black Currant Oil 1000mg,supplement
Lansoprazole 200mg,medication
Taurine 250mg,supplement
Cytomel 200mg,medication
Turmeric 25mg,supplement
Sertraline 200mg,medication
Acetyl-L-Carnitine 100mg,supplement
Lantus 250mg,medication
CoQ10 200mg,supplement
Aceon 100mg,medication
Undecylenic Acid 100mg,supplement
Celexa 500mg,medication
Oregano Oil 25mg,supplement
Medrol 500mg,medication
Astaxanthin 250mg,supplement
Monopril 50mg,medication
Lutein 100mg,supplement
Atacand 50mg,medication
Nettle Root 25mg,supplement
Fosinopril 500mg,medication
Chamomile 200mg,supplement
Calan 250mg,medication
Proline 1000mg,supplement
Diovan 1000mg,medication
Shiitake 100mg,supplement
Quinapril 200mg,medication
Chromium 200mg,supplement
Albuterol 25mg,medication
N-Acetyl Cysteine 1000mg,supplement
Neurontin 500mg,medication
Vinpocetine 500mg,supplement
Tapazole 50mg,medication
BCAAs 50mg,supplement
Quetiapine 25mg,medication
Cordyceps 50mg,supplement
Indomethacin 250mg,medication
Omega-3 50mg,supplement
Humalog 25mg,medication
Elderberry 1000mg,supplement
Avandia 100mg,medication
Papain 50mg,supplement
Prilosec 1000mg,medication
Serrapeptase 25mg,supplement
Rosiglitazone 50mg,medication
Pregnenolone 50mg,supplement
Eszopiclone 200mg,medication
Senna 25mg,supplement
Nexium 25mg,medication
Fenugreek 50mg,supplement
Trazodone 500mg,medication
Iodine 25mg,supplement
Elavil 1000mg,medication
Chamomile 500mg,supplement
Toradol 50mg,medication
Chamomile 200mg,supplement
Furosemide 250mg,medication
Pycnogenol 25mg,supplement
Atorvastatin 1000mg,medication
BCAAs 200mg,supplement
Pravachol 500mg,medication
Vinpocetine 200mg,supplement
Altace 50mg,medication
Lactobacillus 25mg,supplement
Nasonex 25mg,medication
Taurine 200mg,supplement
Mavik 50mg,medication
Vitamin D 250mg,supplement
Calan 100mg,medication
Cascara Sagrada 1000mg,supplement
Pamelor 50mg,medication
Kava 50mg,supplement
Alprazolam 100mg,medication
Lutein 50mg,supplement
Toradol 200mg,medication
Alpha Lipoic Acid 200mg,supplement
Paroxetine 50mg,medication
Turmeric 200mg,supplement
Captopril 100mg,medication
Senna 1000mg,supplement
Inspra 100mg,medication
Alpha-GPC 250mg,supplement
Zocor 250mg,medication
Aloe Vera 1000mg,supplement
Aleve 250mg,medication
Elderberry 500mg,supplement
Venlafaxine 100mg,medication
Valerian Root 50mg,supplement
Zanaflex 200mg,medication
Turmeric 50mg,supplement
Metformin 25mg,medication
N-Acetyl Cysteine 1000mg,supplement
HCTZ 50mg,medication
Lactobacillus 200mg,supplement
Desyrel 25mg,medication
Elderberry 1000mg,supplement
Atacand 1000mg,medication
Apple Cider Vinegar 200mg,supplement
Enalapril 25mg,medication
Inulin 500mg,supplement
Glucotrol 25mg,medication
Lycopene 100mg,supplement
Aldomet 250mg,medication
Lemon Balm 50mg,supplement
Famotidine 100mg,medication
Magnesium 100mg,supplement
Lantus 25mg,medication
Hawthorn 50mg,supplement
Glimepiride 100mg,medication
Lumbrokinase 50mg,supplement
Zoloft 200mg,medication
Psyllium 200mg,supplement
Enalapril 1000mg,medication
Chamomile 500mg,supplement
Celebrex 25mg,medication
Serrapeptase 250mg,supplement
Dapagliflozin 100mg,medication
Glutathione 500mg,supplement
Prevacid 250mg,medication
Diosmin 200mg,supplement
Coreg 500mg,medication
Histidine 200mg,supplement
Ambien 50mg,medication
Zeaxanthin 100mg,supplement
Lunesta 500mg,medication
Beta Sitosterol 200mg,supplement
Aceon 25mg,medication
Uva Ursi 100mg,supplement
Valium 1000mg,medication
Flaxseed Oil 200mg,supplement
Cymbalta 500mg,medication
Bacopa 100mg,supplement
Motrin 250mg,medication
Andrographis 1000mg,supplement
Novolog 1000mg,medication
Echinacea 50mg,supplement
Perindopril 100mg,medication
Chaga 100mg,supplement
Glipizide 50mg,medication
7-Keto DHEA 500mg,supplement
Pantoprazole 50mg,medication
Biotin 500mg,supplement
Effexor 100mg,medication
Fish Oil 100mg,supplement
Lunesta 100mg,medication
Lycopene 250mg,supplement
Ketorolac 500mg,medication
Glucosamine 250mg,supplement
Onglyza 50mg,medication
Vitamin B12 50mg,supplement
Risperidone 1000mg,medication
Vitamin A 500mg,supplement
Vicodin 25mg,medication
Molybdenum 200mg,supplement
Diabeta 500mg,medication
Magnesium 250mg,supplement
Inderal 50mg,medication
DHEA 50mg,supplement
Carafate 250mg,medication
Dandelion Root 500mg,supplement
Carafate 500mg,medication
Ashwagandha 1000mg,supplement
Teveten 100mg,medication
Goldenseal 50mg,supplement
Hydrocodone 250mg,medication
Cascara Sagrada 50mg,supplement
Spironolactone 25mg,medication
Choline 25mg,supplement
Atenolol 100mg,medication
BCAAs 25mg,supplement
Dapagliflozin 500mg,medication
Hesperidin 50mg,supplement
Lotensin 200mg,medication
Alpha-GPC 1000mg,supplement
Keppra 50mg,medication
Artichoke Extract 1000mg,supplement
Micardis 100mg,medication
Turkey Tail 200mg,supplement
Carafate 100mg,medication
Tryptophan 200mg,supplement
Dexlansoprazole 50mg,medication
Magnesium 50mg,supplement
Ambien 1000mg,medication
Copper 100mg,supplement
Altace 250mg,medication
Rutin 500mg,supplement
Perindopril 100mg,medication
Cinnamon 500mg,supplement
Valproic Acid 50mg,medication
Lion's Mane 250mg,supplement
Lopressor 100mg,medication
Maca 100mg,supplement
Ambien 100mg,medication
EGCG 100mg,supplement
Pioglitazone 200mg,medication
Iron 1000mg,supplement
Glucotrol 200mg,medication
Zeaxanthin 200mg,supplement
Metformin 1000mg,medication
Beta-Alanine 1000mg,supplement
ProAir 200mg,medication
Moringa 1000mg,supplement
Keppra 1000mg,medication
7-Keto DHEA 500mg,supplement
Indocin 25mg,medication
Panax Ginseng 50mg,supplement
Losartan 200mg,medication
Glutamine 50mg,supplement
HCTZ 100mg,medication
Pycnogenol 200mg,supplement
Avandia 250mg,medication
Glutamine 25mg,supplement
Duloxetine 500mg,medication
Pygeum 500mg,supplement
Toujeo 500mg,medication
FOS 200mg,supplement
Zebeta 200mg,medication
Moringa 500mg,supplement
Novolog 100mg,medication
Astaxanthin 25mg,supplement
Tapazole 200mg,medication
Bacopa 50mg,supplement
Asacol 50mg,medication
Lactobacillus 100mg,supplement
Motrin 100mg,medication
L-DOPA 500mg,supplement
Risperidone 250mg,medication
Pygeum 100mg,supplement
Topamax 25mg,medication
Lemon Balm 100mg,supplement
ProAir 1000mg,medication
Cordyceps 25mg,supplement
Loniten 25mg,medication
Astaxanthin 500mg,supplement
Celecoxib 1000mg,medication
5-HTP 50mg,supplement
Irbesartan 1000mg,medication
Glucosamine 100mg,supplement
Duragesic 25mg,medication
DHEA 200mg,supplement
Diclofenac 50mg,medication
Zeaxanthin 100mg,supplement
Catapres 100mg,medication
Valerian Root 500mg,supplement
Claritin 200mg,medication
5-HTP 250mg,supplement
Indocin 250mg,medication
Centella 200mg,supplement
Meloxicam 50mg,medication
Turmeric 100mg,supplement
Carbamazepine 500mg,medication
Fenugreek 250mg,supplement
Sucralfate 200mg,medication
Taurine 50mg,supplement
Lopressor 50mg,medication
Turmeric 250mg,supplement
Saxagliptin 250mg,medication
Rutin 500mg,supplement
Famotidine 250mg,medication
Horse Chestnut 200mg,supplement
Eprosartan 1000mg,medication
Vitamin E 250mg,supplement
Micardis 50mg,medication
Bifidobacterium 200mg,supplement
Prednisone 100mg,medication
Bacopa 50mg,supplement
Mobic 500mg,medication
Vitamin B6 500mg,supplement
Candesartan 200mg,medication
Quercetin 100mg,supplement
Hydrochlorothiazide 25mg,medication
NAC 200mg,supplement
Bisoprolol 50mg,medication
L-Citrulline 25mg,supplement
Lorazepam 1000mg,medication
Centella 25mg,supplement
Prednisone 250mg,medication
DHEA 1000mg,supplement
Clonazepam 1000mg,medication
DGL 200mg,supplement
Prevacid 250mg,medication
Reishi 250mg,supplement
Cymbalta 1000mg,medication
Vitamin E 200mg,supplement
Abilify 500mg,medication
Fish Oil 1000mg,supplement
Tradjenta 25mg,medication
Curcumin 200mg,supplement
Glucotrol 500mg,medication
Hawthorn 50mg,supplement
Phenytoin 250mg,medication
Chamomile 250mg,supplement
Risperdal 25mg,medication
Collagen 50mg,supplement
Benicar 500mg,medication
Goldenseal 250mg,supplement
Verapamil 50mg,medication
Glutamine 250mg,supplement
Metformin 25mg,medication
Huperzine A 500mg,supplement
Morphine 50mg,medication
Pycnogenol 50mg,supplement
Remeron 1000mg,medication
Apple Cider Vinegar 500mg,supplement
Seroquel 100mg,medication
Fish Oil 200mg,supplement
Tapazole 50mg,medication
Vitamin B12 200mg,supplement
Esomeprazole 100mg,medication
Olive Leaf Extract 200mg,supplement
Zebeta 1000mg,medication
Beta-Alanine 50mg,supplement
Minoxidil 25mg,medication
Bitter Melon 250mg,supplement
Tradjenta 1000mg,medication
Rhodiola 25mg,supplement
Labetalol 500mg,medication
MSM 25mg,supplement
Deltasone 25mg,medication
Tribulus 100mg,supplement
Onglyza 1000mg,medication
Chondroitin 25mg,supplement
OxyContin 500mg,medication
Molybdenum 50mg,supplement
Montelukast 50mg,medication
Nattokinase 200mg,supplement
Nesina 500mg,medication
L-DOPA 50mg,supplement
Toprol 200mg,medication
Glutathione 250mg,supplement
Cymbalta 25mg,medication
L-DOPA 50mg,supplement
Eprosartan 100mg,medication
Phosphatidylcholine 50mg,supplement
Ramipril 500mg,medication
Chondroitin 50mg,supplement
Xanax 50mg,medication
Psyllium 250mg,supplement
Baclofen 200mg,medication
Undecylenic Acid 100mg,supplement
Saxagliptin 1000mg,medication
7-Keto DHEA 50mg,supplement
Aspirin 100mg,medication
N-Acetyl Cysteine 200mg,supplement
Digoxin 50mg,medication
Betaine 500mg,supplement
Allegra 50mg,medication
Gelatin 100mg,supplement
Benazepril 100mg,medication
Turmeric 250mg,supplement
Albuterol 500mg,medication
Tribulus 200mg,supplement
Allegra 50mg,medication
Vitamin B12 200mg,supplement
Tylenol 200mg,medication
Saw Palmetto 100mg,supplement
Mometasone 250mg,medication
Inositol 25mg,supplement
Avandia 500mg,medication
Moringa 25mg,supplement
Trazodone 250mg,medication
Phosphatidylserine 100mg,supplement
PTU 50mg,medication
Zinc 50mg,supplement
Benicar 250mg,medication
Passionflower 100mg,supplement
Zocor 25mg,medication
Olive Leaf 250mg,supplement
Dapagliflozin 25mg,medication
Chondroitin 1000mg,supplement
Remeron 100mg,medication
Diosmin 50mg,supplement
Ibuprofen 25mg,medication
Probiotics 200mg,supplement
Medrol 50mg,medication
Cayenne 500mg,supplement
Diazepam 50mg,medication
Triphala 25mg,supplement
Tradjenta 500mg,medication
Black Currant Oil 25mg,supplement
Claritin 25mg,medication
Bromelain 500mg,supplement
Depakote 25mg,medication
Manganese 50mg,supplement
Fluticasone 25mg,medication
Horse Chestnut 1000mg,supplement
Asacol 50mg,medication
Choline 500mg,supplement
Mobic 25mg,medication
Caprylic Acid 50mg,supplement
Remeron 100mg,medication
Vitamin K 25mg,supplement
Fosinopril 500mg,medication
N-Acetyl Cysteine 250mg,supplement
Lamictal 250mg,medication
Glutamine 200mg,supplement
Levemir 250mg,medication
GABA 100mg,supplement
Depakote 500mg,medication
Copper 200mg,supplement
Diphenhydramine 250mg,medication
Collagen 25mg,supplement
Eskalith 1000mg,medication
Chicory Root 500mg,supplement
Apresoline 50mg,medication
Caprylic Acid 50mg,supplement
Trazodone 200mg,medication
Phosphatidylserine 200mg,supplement
Rosuvastatin 250mg,medication
Pine Bark Extract 50mg,supplement
Lunesta 500mg,medication
Ashwagandha 1000mg,supplement
Tresiba 200mg,medication
Bilberry 500mg,supplement
Ultram 200mg,medication
Vitamin A 100mg,supplement
Keppra 100mg,medication
PQQ 200mg,supplement
Eskalith 25mg,medication
Black Currant Oil 200mg,supplement
Paroxetine 250mg,medication
Fish Oil 1000mg,supplement
Pantoprazole 50mg,medication
Astaxanthin 250mg,supplement
Mesalamine 250mg,medication
Gelatin 50mg,supplement
Zolpidem 250mg,medication
Milk Thistle 200mg,supplement
Metformin 250mg,medication
Moringa 50mg,supplement
Nesina 200mg,medication
Betaine 50mg,supplement
Avapro 50mg,medication
Ashwagandha 200mg,supplement
Wellbutrin 100mg,medication
Olive Leaf Extract 100mg,supplement
Ativan 200mg,medication
Acetyl-L-Carnitine 25mg,supplement
Topiramate 500mg,medication
Iron 1000mg,supplement
Morphine 100mg,medication
5-HTP 50mg,supplement
Gabapentin 250mg,medication
Lumbrokinase 200mg,supplement
Aldactone 25mg,medication
Piperine 25mg,supplement
Lansoprazole 100mg,medication
Coconut Oil 500mg,supplement
Keppra 50mg,medication
Zinc 50mg,supplement
Risperidone 50mg,medication
Histidine 500mg,supplement
Tizanidine 1000mg,medication
Vitamin B6 100mg,supplement
Carvedilol 100mg,medication
GABA 1000mg,supplement
Tresiba 1000mg,medication
Histidine 200mg,supplement
Methylprednisolone 250mg,medication
Krill Oil 500mg,supplement
Carafate 25mg,medication
Glutamine 25mg,supplement
Aspirin 100mg,medication
Magnesium 200mg,supplement
Trazodone 50mg,medication
DGL 200mg,supplement
Monopril 25mg,medication
Passionflower 1000mg,supplement
Topiramate 500mg,medication
Pine Bark Extract 50mg,supplement
Prozac 50mg,medication
Phosphatidylserine 100mg,supplement
Meloxicam 250mg,medication
Alpha-GPC 500mg,supplement
Hydralazine 500mg,medication
Magnesium 200mg,supplement
Toprol 25mg,medication
Histidine 25mg,supplement
Glipizide 250mg,medication
Curcumin 100mg,supplement
Fexofenadine 1000mg,medication
Bromelain 250mg,supplement
Hydrochlorothiazide 25mg,medication
Vitamin C 1000mg,supplement
Lunesta 50mg,medication
Betaine 200mg,supplement
Naprosyn 250mg,medication
Cat's Claw 100mg,supplement
Tenormin 200mg,medication
DHEA 100mg,supplement
Altace 100mg,medication
Marshmallow Root 250mg,supplement
Risperdal 25mg,medication
Oregano Oil 500mg,supplement
Topamax 1000mg,medication
Lion's Mane 100mg,supplement
ProAir 100mg,medication
Vitamin E 200mg,supplement
Atacand 50mg,medication
Folic Acid 250mg,supplement
Desyrel 250mg,medication
Coconut Oil 200mg,supplement
Xanax 1000mg,medication
Fish Oil 50mg,supplement
Zanaflex 100mg,medication
Glucosamine 1000mg,supplement
Januvia 50mg,medication
Pycnogenol 1000mg,supplement
OxyContin 500mg,medication
Sulbutiamine 1000mg,supplement
Cymbalta 250mg,medication
Beta-Alanine 500mg,supplement
Methimazole 100mg,medication
Phosphatidylcholine 200mg,supplement
Bisoprolol 100mg,medication
Phosphatidylcholine 1000mg,supplement
Fosinopril 200mg,medication
7-Keto DHEA 500mg,supplement
Advil 50mg,medication
Milk Thistle 25mg,supplement
Metoprolol 500mg,medication
Selenium 1000mg,supplement
Invokana 250mg,medication
Cascara Sagrada 25mg,supplement
Amlodipine 500mg,medication
Tryptophan 500mg,supplement
Diazepam 500mg,medication
Vitamin E 50mg,supplement
Deltasone 25mg,medication
Digestive Enzymes 25mg,supplement
Vicodin 250mg,medication
Maitake 500mg,supplement
Monopril 250mg,medication
Tryptophan 25mg,supplement
Amitriptyline 500mg,medication
Nicotinamide Riboside 200mg,supplement
Sucralfate 500mg,medication
Monolaurin 50mg,supplement
Fluticasone 50mg,medication
Lactobacillus 250mg,supplement
Amlodipine 250mg,medication
Dandelion Root 1000mg,supplement
Valium 25mg,medication
Piperine 1000mg,supplement
Minoxidil 100mg,medication
Krill Oil 1000mg,supplement
Celexa 200mg,medication
Glucosamine 250mg,supplement
Prinivil 100mg,medication
Panax Ginseng 500mg,supplement
Duloxetine 250mg,medication
Cayenne 500mg,supplement
Sertraline 200mg,medication
Artichoke Extract 1000mg,supplement
Valsartan 100mg,medication
Ashwagandha 500mg,supplement
Empagliflozin 200mg,medication
Echinacea 200mg,supplement
Zyrtec 250mg,medication
Phenylalanine 25mg,supplement
Metformin 100mg,medication
Ginkgo Biloba 1000mg,supplement
Clonidine 1000mg,medication
Flaxseed Oil 500mg,supplement
Levothyroxine 500mg,medication
Inulin 250mg,supplement
Aceon 25mg,medication
Sambucus 200mg,supplement
Capoten 100mg,medication
Copper 1000mg,supplement
Dapagliflozin 25mg,medication
Huperzine A 50mg,supplement
Nortriptyline 1000mg,medication
Hyaluronic Acid 1000mg,supplement
Duloxetine 25mg,medication
Proline 25mg,supplement
Valium 1000mg,medication
Biotin 100mg,supplement
Allegra 50mg,medication
CLA 50mg,supplement
Prevacid 1000mg,medication
Spirulina 50mg,supplement
Telmisartan 25mg,medication
Hawthorn 100mg,supplement
Elavil 1000mg,medication
Taurine 500mg,supplement
Aleve 25mg,medication
Collagen 50mg,supplement
Capoten 500mg,medication
Saw Palmetto 1000mg,supplement
Desyrel 250mg,medication
Phosphatidylcholine 25mg,supplement
Perindopril 250mg,medication
Hyaluronic Acid 1000mg,supplement
Mobic 25mg,medication
Rutin 500mg,supplement
Warfarin 100mg,medication
Krill Oil 200mg,supplement
Acetaminophen 25mg,medication
N-Acetyl Cysteine 200mg,supplement
Diphenhydramine 50mg,medication
Chondroitin 1000mg,supplement
Wellbutrin 50mg,medication
Chaga 200mg,supplement
Methyldopa 200mg,medication
Cordyceps 1000mg,supplement
Decadron 200mg,medication
BCAAs 1000mg,supplement
Nesina 200mg,medication
Vitamin D 25mg,supplement
Flonase 1000mg,medication
Echinacea 25mg,supplement
Pravastatin 25mg,medication
Piperine 100mg,supplement
Alprazolam 250mg,medication
Cayenne 500mg,supplement
Paxil 500mg,medication
Panax Ginseng 200mg,supplement
Atenolol 250mg,medication
Andrographis 50mg,supplement
Dexilant 500mg,medication
Moringa 1000mg,supplement
Hydrocortisone 500mg,medication
Vitamin B6 250mg,supplement
Naproxen 500mg,medication
Phosphatidylserine 500mg,supplement
Indocin 25mg,medication
Marshmallow Root 1000mg,supplement
Celexa 50mg,medication
