supplement_name,medication_name,severity,description,recommendation
"St. John's Wort","Duloxetine",severe,"Risk of serotonin syndrome; CYP inducer reduces drug levels","Do not combine; consult prescriber immediately. Not medical advice."
"5-HTP","Sertraline",high,"Risk of serotonin syndrome","Avoid combination; consult prescriber. Not medical advice."
"5-HTP","Fluoxetine",high,"Risk of serotonin syndrome","Avoid combination; consult prescriber. Not medical advice."
"5-HTP","Escitalopram",high,"Risk of serotonin syndrome","Avoid combination; consult prescriber. Not medical advice."
"Calcium","Levothyroxine",moderate,"Reduces absorption of thyroid medication","Separate by at least 4 hours. Not medical advice."
"Iron","Levothyroxine",moderate,"Reduces absorption of thyroid medication","Separate by at least 4 hours. Not medical advice."
"Magnesium","Levothyroxine",moderate,"May reduce absorption of thyroid medication","Separate by at least 2-4 hours. Not medical advice."
"Fiber","Levothyroxine",low,"High-fiber supplements may reduce absorption","Take levothyroxine on empty stomach; separate fiber. Not medical advice."
"Iron","Omeprazole",moderate,"Reduced iron absorption due to increased gastric pH","Consider iron supplementation timing or formulation. Not medical advice."
"Iron","Omeprazole (Prilosec)",moderate,"Reduced iron absorption due to increased gastric pH","Consider iron supplementation timing or formulation. Not medical advice."
"Calcium","Ciprofloxacin",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Calcium","Levofloxacin",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Calcium","Doxycycline",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Iron","Ciprofloxacin",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Iron","Levofloxacin",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Iron","Doxycycline",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Magnesium","Ciprofloxacin",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Magnesium","Levofloxacin",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Zinc","Ciprofloxacin",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Zinc","Levofloxacin",moderate,"Chelation reduces antibiotic absorption","Separate by at least 2 hours. Not medical advice."
"Probiotics","Amoxicillin",low,"Antibiotics may reduce probiotic viability","Take probiotics several hours apart from antibiotic. Not medical advice."
"Probiotics","Azithromycin",low,"Antibiotics may reduce probiotic viability","Take probiotics several hours apart from antibiotic. Not medical advice."
"Probiotics","Ciprofloxacin",low,"Antibiotics may reduce probiotic viability","Take probiotics several hours apart from antibiotic. Not medical advice."
"Niacin","Atorvastatin",moderate,"Increased risk of myopathy","Use cautiously; monitor for muscle pain. Not medical advice."
"Niacin","Atorvastatin (Lipitor)",moderate,"Increased risk of myopathy","Use cautiously; monitor for muscle pain. Not medical advice."
"Niacin","Simvastatin",moderate,"Increased risk of myopathy","Use cautiously; monitor for muscle pain. Not medical advice."
"Niacin","Rosuvastatin",moderate,"Increased risk of myopathy","Use cautiously; monitor for muscle pain. Not medical advice."
"CoQ10","Warfarin",moderate,"May reduce anticoagulant effect","Monitor INR if starting/stopping CoQ10. Not medical advice."
"Coenzyme Q10 (CoQ10)","Warfarin",moderate,"May reduce anticoagulant effect","Monitor INR if starting/stopping CoQ10. Not medical advice."
"Potassium","Lisinopril",moderate,"Risk of hyperkalemia","Monitor potassium levels; avoid high-dose supplements. Not medical advice."
"Potassium","Losartan",moderate,"Risk of hyperkalemia","Monitor potassium levels; avoid high-dose supplements. Not medical advice."
"Potassium","Spironolactone",high,"Significant risk of hyperkalemia","Avoid potassium supplements; monitor levels closely. Not medical advice."
"Magnesium","Hydrochlorothiazide",low,"Diuretic may deplete magnesium","Magnesium supplementation may be beneficial; consult prescriber. Not medical advice."
"Potassium","Hydrochlorothiazide",low,"Diuretic may deplete potassium","Potassium supplementation may be needed; monitor levels. Not medical advice."
"Potassium","Furosemide",low,"Diuretic may deplete potassium","Potassium supplementation may be needed; monitor levels. Not medical advice."
"Magnesium","Furosemide",low,"Diuretic may deplete magnesium","Magnesium supplementation may be beneficial; consult prescriber. Not medical advice."
"Melatonin","Zolpidem",moderate,"Additive sedative effects","Use cautiously; avoid driving. Not medical advice."
"Valerian Root","Zolpidem",moderate,"Additive sedative effects","Use cautiously; avoid driving. Not medical advice."
"Valerian Root","Alprazolam",moderate,"Additive sedative effects","Use cautiously; consult prescriber. Not medical advice."
"Valerian Root","Lorazepam",moderate,"Additive sedative effects","Use cautiously; consult prescriber. Not medical advice."
"Valerian Root","Diazepam",moderate,"Additive sedative effects","Use cautiously; consult prescriber. Not medical advice."
"Valerian Root","Clonazepam",moderate,"Additive sedative effects","Use cautiously; consult prescriber. Not medical advice."
"Magnesium","Metformin",low,"Metformin may reduce magnesium absorption","Consider magnesium supplementation; monitor levels. Not medical advice."
"Vitamin B12","Metformin",low,"Long-term metformin may deplete B12","Consider B12 supplementation; monitor levels annually. Not medical advice."
"Chromium","Insulin",moderate,"May enhance insulin effect; hypoglycemia risk","Monitor blood glucose closely. Not medical advice."
"Chromium","Metformin",low,"May enhance glucose-lowering effect","Monitor blood glucose; consult prescriber. Not medical advice."
"Ginseng","Insulin",moderate,"May affect blood glucose control","Monitor blood glucose closely. Not medical advice."
"Ginseng","Metformin",low,"May affect blood glucose control","Monitor blood glucose; consult prescriber. Not medical advice."
"Vitamin C","Warfarin",low,"High doses (>1g/day) may affect INR","Keep vitamin C intake consistent; monitor INR. Not medical advice."
"Green Tea Extract","Warfarin",moderate,"Contains vitamin K; may reduce anticoagulant effect","Avoid high doses; monitor INR. Not medical advice."
"Zinc","Amoxicillin",low,"May reduce antibiotic absorption","Separate by 2 hours if possible. Not medical advice."
"Calcium","Verapamil",moderate,"May reduce effectiveness of calcium channel blocker","Consult prescriber before high-dose calcium. Not medical advice."
"Calcium","Diltiazem",moderate,"May reduce effectiveness of calcium channel blocker","Consult prescriber before high-dose calcium. Not medical advice."
"St. John's Wort","Digoxin",high,"CYP inducer reduces digoxin levels","Avoid combination; consult prescriber. Not medical advice."
"St. John's Wort","Verapamil",high,"CYP inducer reduces drug levels","Avoid combination; consult prescriber. Not medical advice."
"St. John's Wort","Atorvastatin",moderate,"CYP inducer may reduce statin levels","Avoid combination; consult prescriber. Not medical advice."
"St. John's Wort","Simvastatin",moderate,"CYP inducer may reduce statin levels","Avoid combination; consult prescriber. Not medical advice."
"Ginkgo Biloba","Ibuprofen",moderate,"Increased bleeding risk","Use cautiously; monitor for bleeding. Not medical advice."
"Ginkgo Biloba","Naproxen",moderate,"Increased bleeding risk","Use cautiously; monitor for bleeding. Not medical advice."
"Garlic","Aspirin",moderate,"Additive antiplatelet effects","Avoid high-dose garlic; monitor for bleeding. Not medical advice."
"Ginger","Warfarin",moderate,"May enhance anticoagulant effect","Avoid high doses; monitor INR. Not medical advice."
"Ginger","Aspirin",low,"May enhance antiplatelet effects","Use moderate amounts; monitor for bleeding. Not medical advice."
"Turmeric","Warfarin",moderate,"May enhance anticoagulant effect","Avoid high doses; monitor INR. Not medical advice."
"Turmeric (Curcumin)","Warfarin",moderate,"May enhance anticoagulant effect","Avoid high doses; monitor INR. Not medical advice."
"Curcumin","Warfarin",moderate,"May enhance anticoagulant effect","Avoid high doses; monitor INR. Not medical advice."
"Vitamin D3","Digoxin",moderate,"Hypercalcemia from vitamin D may increase digoxin toxicity","Monitor calcium and digoxin levels. Not medical advice."
"Calcium","Digoxin",moderate,"Hypercalcemia may increase digoxin toxicity","Avoid high-dose calcium; monitor levels. Not medical advice."
"SAMe","Sertraline",moderate,"Risk of serotonin syndrome","Avoid combination; consult prescriber. Not medical advice."
"SAMe","Escitalopram",moderate,"Risk of serotonin syndrome","Avoid combination; consult prescriber. Not medical advice."
"Niacin","Pravastatin",moderate,"Increased risk of myopathy","Use cautiously; monitor for muscle pain. Not medical advice."
"Ginseng","Warfarin",moderate,"May affect INR variability","Monitor INR closely; maintain consistent use. Not medical advice."
"Vitamin C","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin C","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin C","Metoprolol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin C","Amlodipine",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin D3","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin D3","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin D3","Metoprolol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin D3","Amlodipine",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin B12","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin B12","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin B12","Metoprolol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin B12","Amlodipine",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Biotin","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Biotin","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Biotin","Metoprolol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Biotin","Amlodipine",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Riboflavin","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Riboflavin","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Riboflavin","Metoprolol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Riboflavin","Amlodipine",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Thiamine","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Thiamine","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Thiamine","Metoprolol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Thiamine","Amlodipine",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Folic Acid","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Folic Acid","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Folic Acid","Metoprolol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Folic Acid","Amlodipine",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Probiotics","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Probiotics","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Probiotics","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Probiotics","Pravastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Probiotics","Rosuvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Probiotics","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Prebiotics","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Prebiotics","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Prebiotics","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Prebiotics","Pravastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Prebiotics","Rosuvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Prebiotics","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"CoQ10","Metoprolol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"CoQ10","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"CoQ10","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"CoQ10","Amlodipine",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"CoQ10","Diltiazem",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Coenzyme Q10 (CoQ10)","Metoprolol",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Coenzyme Q10 (CoQ10)","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Coenzyme Q10 (CoQ10)","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Coenzyme Q10 (CoQ10)","Amlodipine",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Coenzyme Q10 (CoQ10)","Diltiazem",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Pravastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Rosuvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Zinc","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Zinc","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Zinc","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Zinc","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Zinc","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Zinc","Pravastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Zinc","Rosuvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin D3","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin D3","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin D3","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Omega-3","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Omega-3","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Omega-3","Pravastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Omega-3","Rosuvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fish Oil","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fish Oil","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fish Oil","Pravastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fish Oil","Rosuvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fish Oil (Omega-3)","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fish Oil (Omega-3)","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fish Oil (Omega-3)","Pravastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Fish Oil (Omega-3)","Rosuvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Curcumin","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Curcumin","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Curcumin","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric (Curcumin)","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric (Curcumin)","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Turmeric (Curcumin)","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginger","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginger","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Green Tea Extract","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Green Tea Extract","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Resveratrol","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Resveratrol","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Resveratrol","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Quercetin","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Quercetin","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Quercetin","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ashwagandha","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ashwagandha","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ashwagandha","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Rhodiola","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Rhodiola","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Rhodiola","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"L-Theanine","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"L-Theanine","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Collagen","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Collagen","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Collagen","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Whey Protein","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Whey Protein","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Whey Protein","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Glucosamine","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Glucosamine","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Glucosamine","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Chondroitin","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Chondroitin","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Chondroitin","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Alpha Lipoic Acid","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Alpha Lipoic Acid","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Selenium","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Selenium","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Selenium","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Calcium","Celecoxib",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Calcium","Meloxicam",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Calcium","Diclofenac",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Calcium","Naproxen",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Calcium","Ibuprofen",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Alprazolam",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Lorazepam",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Diazepam",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Magnesium","Clonazepam",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin C","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin C","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin E","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin E","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin E","Pravastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin E","Rosuvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Vitamin E","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Iron","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Iron","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Iron","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Iron","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Folic Acid","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Folic Acid","Simvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Biotin","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Biotin","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Niacin","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Niacin","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Melatonin","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Melatonin","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Melatonin","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Valerian Root","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Valerian Root","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Valerian Root","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Echinacea","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Echinacea","Lisinopril",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Echinacea","Losartan",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginkgo Biloba","Metformin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
"Ginkgo Biloba","Atorvastatin",low,"No well-documented significant interaction","Generally safe to combine; consult healthcare provider. Not medical advice."
