supplement_name,medication_name,severity,description,recommendation,source
SAMe,Semaglutide,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Prebiotic Fiber (Inulin),Tramadol,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
St. John’s Wort,Amlodipine,low,"Low likelihood of clinically significant interaction. St. John’s Wort may affect CYP enzymes or transporters impacting Amlodipine. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Betaine (TMG),Zolpidem,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Turmeric (Curcumin),Levothyroxine,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Turmeric (Curcumin) may affect CYP enzymes or transporters impacting Levothyroxine.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ashwagandha,Cyclobenzaprine,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Horny Goat Weed,Doxycycline,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Hyaluronic Acid,Rosuvastatin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Hyaluronic Acid may affect CYP enzymes or transporters impacting Rosuvastatin. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Fenugreek,Codeine,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ashwagandha,Atorvastatin,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Ashwagandha may affect CYP enzymes or transporters impacting Atorvastatin.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Black Cohosh,Warfarin,low,"Low likelihood of clinically significant interaction. Black Cohosh may affect CYP enzymes or transporters impacting Warfarin. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Milk Thistle (Silymarin),Simvastatin,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Seamoss,Alprazolam,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beta-Carotene,Liraglutide,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Beta-Carotene may affect CYP enzymes or transporters impacting Liraglutide. Individual response varies; comorbidities and dose matter.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
St. John’s Wort,Liraglutide,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Vitamin K2,Doxycycline,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
MSM,Omeprazole,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Creatine Monohydrate,Gabapentin,low,"Low likelihood of clinically significant interaction. Creatine Monohydrate may affect CYP enzymes or transporters impacting Gabapentin. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Iron (Ferrous Sulfate),Prednisone,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Astaxanthin,Gabapentin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Bromelain,Nitrofurantoin,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Astaxanthin,Pantoprazole,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Boswellia,Topiramate,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Potassium Citrate,Olanzapine,low,"Low likelihood of clinically significant interaction. Potassium Citrate may affect CYP enzymes or transporters impacting Olanzapine. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Red Yeast Rice,Sitagliptin,severe,"Documented risk of serious adverse outcome or loss of therapeutic control. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Do not combine unless a prescriber specifically directs and monitors therapy; seek medical advice. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Tyrosine,Levetiracetam,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Valerian Root,Zolpidem,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Valerian Root may affect CYP enzymes or transporters impacting Zolpidem. Individual response varies; comorbidities and dose matter.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Maca,Nitrofurantoin,severe,"Documented risk of serious adverse outcome or loss of therapeutic control. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Do not combine unless a prescriber specifically directs and monitors therapy; seek medical advice. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Electrolyte Blend,Duloxetine,low,Low likelihood of clinically significant interaction. Electrolyte Blend may affect CYP enzymes or transporters impacting Duloxetine. Individual response varies; comorbidities and dose matter.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Calcium Citrate,Lamotrigine,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Calcium Citrate may affect CYP enzymes or transporters impacting Lamotrigine.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Zeaxanthin,Valproate,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Green Tea Extract,Zolpidem,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Magnesium,Simvastatin,low,Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Magnesium may affect CYP enzymes or transporters impacting Simvastatin.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
5-HTP,Esomeprazole,low,"Low likelihood of clinically significant interaction. 5-HTP may affect CYP enzymes or transporters impacting Esomeprazole. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Artichoke Extract,Warfarin,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Acetyl-L-Carnitine,Lisinopril,low,"Low likelihood of clinically significant interaction. Acetyl-L-Carnitine may affect CYP enzymes or transporters impacting Lisinopril. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beef Liver (Desiccated),Doxycycline,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Beef Liver (Desiccated) may affect CYP enzymes or transporters impacting Doxycycline.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Alpha-Lipoic Acid,Gabapentin,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Alpha-Lipoic Acid may affect CYP enzymes or transporters impacting Gabapentin.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Vitamin D3,Doxycycline,severe,"Documented risk of serious adverse outcome or loss of therapeutic control. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Do not combine unless a prescriber specifically directs and monitors therapy; seek medical advice. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Lutein,Quetiapine,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Lutein may affect CYP enzymes or transporters impacting Quetiapine.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Cordyceps,Levetiracetam,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Cordyceps may affect CYP enzymes or transporters impacting Levetiracetam.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Iron (Ferrous Sulfate),Lorazepam,low,"Low likelihood of clinically significant interaction. Iron (Ferrous Sulfate) may affect CYP enzymes or transporters impacting Lorazepam. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Quercetin,Rosuvastatin,moderate,Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Quercetin may affect CYP enzymes or transporters impacting Rosuvastatin. Individual response varies; comorbidities and dose matter.,"Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Spirulina,Quetiapine,low,"Low likelihood of clinically significant interaction. Spirulina may affect CYP enzymes or transporters impacting Quetiapine. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Calcium Carbonate,Amoxicillin,low,"Low likelihood of clinically significant interaction. Calcium Carbonate may affect CYP enzymes or transporters impacting Amoxicillin. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Shilajit,Azithromycin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Shilajit may affect CYP enzymes or transporters impacting Azithromycin.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Maca,Simvastatin,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Creatine Monohydrate,Escitalopram,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Maca,Atorvastatin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Maca may affect CYP enzymes or transporters impacting Atorvastatin.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Boswellia,Alprazolam,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Boswellia may affect CYP enzymes or transporters impacting Alprazolam.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Selenium,Bupropion,low,"Low likelihood of clinically significant interaction. Selenium may affect CYP enzymes or transporters impacting Bupropion. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Boswellia,Zolpidem,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Vitamin D3,Sitagliptin,low,Low likelihood of clinically significant interaction. Vitamin D3 may affect CYP enzymes or transporters impacting Sitagliptin. Individual response varies; comorbidities and dose matter.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Reishi,Duloxetine,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Reishi may affect CYP enzymes or transporters impacting Duloxetine.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Probiotic Blend,Doxycycline,low,"Low likelihood of clinically significant interaction. Probiotic Blend may affect CYP enzymes or transporters impacting Doxycycline. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ashwagandha,Zolpidem,low,Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Ashwagandha may affect CYP enzymes or transporters impacting Zolpidem.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beta-Carotene,Sertraline,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Beta-Carotene may affect CYP enzymes or transporters impacting Sertraline. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Calcium Carbonate,Omeprazole,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Calcium Carbonate may affect CYP enzymes or transporters impacting Omeprazole.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Astaxanthin,Insulin (Glargine),low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Milk Thistle (Silymarin),Semaglutide,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Lion’s Mane,Semaglutide,severe,"Documented risk of serious adverse outcome or loss of therapeutic control. Potential additive effects on blood pressure, glycemia, or coagulation. Lion’s Mane may affect CYP enzymes or transporters impacting Semaglutide.","Do not combine unless a prescriber specifically directs and monitors therapy; seek medical advice. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Milk Thistle (Silymarin),Lorazepam,high,"Increased risk of adverse effects or reduced efficacy due to absorption, metabolism, or additive effects. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Avoid routine co‑use without medical supervision; consider alternatives or lab monitoring. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Hyaluronic Acid,Hydrochlorothiazide,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
L-Citrulline,Alprazolam,low,"Low likelihood of clinically significant interaction. L-Citrulline may affect CYP enzymes or transporters impacting Alprazolam. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Glucomannan (Konjac),Pregabalin,high,"Increased risk of adverse effects or reduced efficacy due to absorption, metabolism, or additive effects. Potential additive effects on blood pressure, glycemia, or coagulation. Glucomannan (Konjac) may affect CYP enzymes or transporters impacting Pregabalin.","Avoid routine co‑use without medical supervision; consider alternatives or lab monitoring. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Cinnamon (Ceylon),Hydrocodone/Acetaminophen,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Cinnamon (Ceylon) may affect CYP enzymes or transporters impacting Hydrocodone/Acetaminophen.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
