supplement_name,medication_name,severity,mechanism,evidence,recommendation
Supplement 348,Medication 60,moderate,Unknown,C,Auto-generated interaction
Supplement 858,Medication 6,high,Absorption reduction,B,Auto-generated interaction
Supplement 224,Medication 71,moderate,Additive effect,B,Auto-generated interaction
Supplement 649,Medication 112,moderate,Unknown,B,Auto-generated interaction
Supplement 749,Medication 18,low,Absorption reduction,B,Auto-generated interaction
Supplement 250,Medication 80,high,Additive effect,B,Auto-generated interaction
Supplement 339,Medication 37,high,Absorption reduction,C,Auto-generated interaction
Supplement 285,Medication 51,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 776,Medication 119,high,Absorption reduction,C,Auto-generated interaction
Supplement 376,Medication 110,high,Absorption reduction,B,Auto-generated interaction
Supplement 581,Medication 28,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 825,Medication 94,low,Additive effect,A,Auto-generated interaction
Supplement 551,Medication 77,moderate,Unknown,B,Auto-generated interaction
Supplement 182,Medication 116,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 832,Medication 139,moderate,Unknown,C,Auto-generated interaction
Supplement 383,Medication 89,high,Additive effect,C,Auto-generated interaction
Supplement 464,Medication 110,high,Additive effect,C,Auto-generated interaction
Supplement 278,Medication 54,low,Absorption reduction,B,Auto-generated interaction
Supplement 307,Medication 44,high,Unknown,B,Auto-generated interaction
Supplement 821,Medication 77,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 723,Medication 81,high,Additive effect,A,Auto-generated interaction
Supplement 902,Medication 145,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 372,Medication 107,high,Additive effect,C,Auto-generated interaction
Supplement 908,Medication 82,high,Absorption reduction,C,Auto-generated interaction
Supplement 138,Medication 56,severe,Unknown,C,Auto-generated interaction
Supplement 369,Medication 1,low,Absorption reduction,C,Auto-generated interaction
Supplement 477,Medication 122,moderate,Additive effect,C,Auto-generated interaction
Supplement 160,Medication 59,severe,Unknown,B,Auto-generated interaction
Supplement 354,Medication 56,severe,Additive effect,A,Auto-generated interaction
Supplement 44,Medication 103,moderate,Additive effect,B,Auto-generated interaction
Supplement 709,Medication 104,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 789,Medication 116,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 571,Medication 25,moderate,Unknown,B,Auto-generated interaction
Supplement 526,Medication 72,low,Unknown,B,Auto-generated interaction
Supplement 687,Medication 28,moderate,Additive effect,C,Auto-generated interaction
Supplement 167,Medication 27,low,Unknown,B,Auto-generated interaction
Supplement 198,Medication 150,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 628,Medication 84,severe,Additive effect,B,Auto-generated interaction
Supplement 785,Medication 14,severe,Additive effect,A,Auto-generated interaction
Supplement 428,Medication 73,high,Additive effect,A,Auto-generated interaction
Supplement 846,Medication 146,severe,Unknown,C,Auto-generated interaction
Supplement 371,Medication 149,low,Unknown,B,Auto-generated interaction
Supplement 101,Medication 38,high,Additive effect,A,Auto-generated interaction
Supplement 255,Medication 14,low,Absorption reduction,A,Auto-generated interaction
Supplement 385,Medication 125,low,Additive effect,B,Auto-generated interaction
Supplement 257,Medication 137,severe,Unknown,A,Auto-generated interaction
Supplement 44,Medication 93,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 63,Medication 125,high,Additive effect,C,Auto-generated interaction
Supplement 937,Medication 80,high,Additive effect,A,Auto-generated interaction
Supplement 582,Medication 122,high,Absorption reduction,B,Auto-generated interaction
Supplement 292,Medication 120,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 801,Medication 16,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 731,Medication 27,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 27,Medication 75,high,Unknown,C,Auto-generated interaction
Supplement 650,Medication 83,moderate,Unknown,C,Auto-generated interaction
Supplement 542,Medication 25,high,Unknown,A,Auto-generated interaction
Supplement 156,Medication 148,moderate,Additive effect,A,Auto-generated interaction
Supplement 578,Medication 130,high,Additive effect,A,Auto-generated interaction
Supplement 747,Medication 144,severe,Absorption reduction,C,Auto-generated interaction
Supplement 672,Medication 51,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 871,Medication 49,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 374,Medication 49,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 315,Medication 102,low,Additive effect,A,Auto-generated interaction
Supplement 757,Medication 93,severe,Absorption reduction,A,Auto-generated interaction
Supplement 35,Medication 79,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 328,Medication 109,severe,Additive effect,C,Auto-generated interaction
Supplement 535,Medication 55,moderate,Unknown,B,Auto-generated interaction
Supplement 51,Medication 78,severe,Unknown,B,Auto-generated interaction
Supplement 56,Medication 13,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 482,Medication 4,low,Absorption reduction,A,Auto-generated interaction
Supplement 97,Medication 78,severe,Additive effect,B,Auto-generated interaction
Supplement 603,Medication 9,severe,Unknown,A,Auto-generated interaction
Supplement 552,Medication 90,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 788,Medication 88,moderate,Additive effect,B,Auto-generated interaction
Supplement 933,Medication 135,moderate,Unknown,C,Auto-generated interaction
Supplement 889,Medication 25,low,Absorption reduction,B,Auto-generated interaction
Supplement 674,Medication 72,high,Additive effect,C,Auto-generated interaction
Supplement 863,Medication 9,high,Unknown,C,Auto-generated interaction
Supplement 12,Medication 45,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 647,Medication 76,severe,Unknown,C,Auto-generated interaction
Supplement 53,Medication 123,high,Unknown,A,Auto-generated interaction
Supplement 39,Medication 102,high,Additive effect,B,Auto-generated interaction
Supplement 470,Medication 2,severe,Additive effect,C,Auto-generated interaction
Supplement 269,Medication 35,severe,Absorption reduction,B,Auto-generated interaction
Supplement 874,Medication 77,low,Unknown,C,Auto-generated interaction
Supplement 251,Medication 136,high,Unknown,B,Auto-generated interaction
Supplement 504,Medication 142,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 719,Medication 88,low,Unknown,A,Auto-generated interaction
Supplement 749,Medication 128,high,Absorption reduction,C,Auto-generated interaction
Supplement 882,Medication 85,moderate,Additive effect,B,Auto-generated interaction
Supplement 271,Medication 10,severe,Unknown,B,Auto-generated interaction
Supplement 60,Medication 130,high,Unknown,B,Auto-generated interaction
Supplement 447,Medication 79,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 384,Medication 13,high,Absorption reduction,C,Auto-generated interaction
Supplement 239,Medication 5,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 829,Medication 101,high,Unknown,A,Auto-generated interaction
Supplement 105,Medication 58,moderate,Unknown,C,Auto-generated interaction
Supplement 85,Medication 12,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 509,Medication 105,severe,Additive effect,B,Auto-generated interaction
Supplement 368,Medication 142,high,Absorption reduction,C,Auto-generated interaction
Supplement 413,Medication 27,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 181,Medication 143,severe,Absorption reduction,B,Auto-generated interaction
Supplement 712,Medication 47,high,Additive effect,C,Auto-generated interaction
Supplement 301,Medication 35,low,Unknown,C,Auto-generated interaction
Supplement 32,Medication 89,moderate,Unknown,A,Auto-generated interaction
Supplement 406,Medication 73,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 673,Medication 51,moderate,Additive effect,A,Auto-generated interaction
Supplement 921,Medication 41,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 903,Medication 114,high,Unknown,B,Auto-generated interaction
Supplement 621,Medication 64,low,Unknown,B,Auto-generated interaction
Supplement 340,Medication 120,low,Unknown,B,Auto-generated interaction
Supplement 896,Medication 34,high,Additive effect,B,Auto-generated interaction
Supplement 717,Medication 75,low,Additive effect,B,Auto-generated interaction
Supplement 169,Medication 133,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 914,Medication 136,severe,Absorption reduction,B,Auto-generated interaction
Supplement 638,Medication 4,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 938,Medication 10,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 470,Medication 59,high,Unknown,B,Auto-generated interaction
Supplement 598,Medication 113,high,Additive effect,B,Auto-generated interaction
Supplement 481,Medication 110,severe,Unknown,A,Auto-generated interaction
Supplement 677,Medication 132,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 444,Medication 52,high,Absorption reduction,A,Auto-generated interaction
Supplement 942,Medication 54,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 860,Medication 111,moderate,Unknown,A,Auto-generated interaction
Supplement 990,Medication 37,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 784,Medication 66,low,Absorption reduction,B,Auto-generated interaction
Supplement 520,Medication 112,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 142,Medication 142,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 965,Medication 24,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 161,Medication 32,moderate,Additive effect,C,Auto-generated interaction
Supplement 233,Medication 44,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 803,Medication 120,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 226,Medication 129,severe,Unknown,A,Auto-generated interaction
Supplement 383,Medication 71,high,Additive effect,B,Auto-generated interaction
Supplement 869,Medication 86,moderate,Unknown,C,Auto-generated interaction
Supplement 122,Medication 55,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 563,Medication 127,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 98,Medication 140,high,Unknown,A,Auto-generated interaction
Supplement 38,Medication 28,moderate,Unknown,A,Auto-generated interaction
Supplement 980,Medication 4,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 733,Medication 21,high,Absorption reduction,C,Auto-generated interaction
Supplement 783,Medication 76,low,Additive effect,C,Auto-generated interaction
Supplement 291,Medication 141,moderate,Unknown,B,Auto-generated interaction
Supplement 491,Medication 42,low,Additive effect,C,Auto-generated interaction
Supplement 692,Medication 136,high,Unknown,C,Auto-generated interaction
Supplement 506,Medication 72,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 1000,Medication 98,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 930,Medication 33,severe,Absorption reduction,C,Auto-generated interaction
Supplement 847,Medication 88,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 397,Medication 102,low,Absorption reduction,B,Auto-generated interaction
Supplement 292,Medication 37,severe,Additive effect,A,Auto-generated interaction
Supplement 559,Medication 103,severe,Additive effect,C,Auto-generated interaction
Supplement 841,Medication 111,moderate,Additive effect,C,Auto-generated interaction
Supplement 8,Medication 36,severe,Absorption reduction,B,Auto-generated interaction
Supplement 9,Medication 34,low,Unknown,B,Auto-generated interaction
Supplement 874,Medication 36,severe,Additive effect,B,Auto-generated interaction
Supplement 291,Medication 141,moderate,Unknown,C,Auto-generated interaction
Supplement 292,Medication 3,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 481,Medication 100,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 55,Medication 67,low,Absorption reduction,B,Auto-generated interaction
Supplement 16,Medication 78,moderate,Unknown,A,Auto-generated interaction
Supplement 446,Medication 30,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 975,Medication 122,high,Additive effect,C,Auto-generated interaction
Supplement 728,Medication 85,high,Unknown,B,Auto-generated interaction
Supplement 736,Medication 69,high,Unknown,A,Auto-generated interaction
Supplement 961,Medication 116,severe,Absorption reduction,C,Auto-generated interaction
Supplement 748,Medication 132,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 126,Medication 72,low,Additive effect,A,Auto-generated interaction
Supplement 278,Medication 129,moderate,Unknown,A,Auto-generated interaction
Supplement 939,Medication 4,low,Unknown,B,Auto-generated interaction
Supplement 876,Medication 90,severe,Unknown,C,Auto-generated interaction
Supplement 943,Medication 79,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 513,Medication 9,high,Absorption reduction,A,Auto-generated interaction
Supplement 202,Medication 93,high,Additive effect,C,Auto-generated interaction
Supplement 130,Medication 114,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 638,Medication 93,severe,Unknown,B,Auto-generated interaction
Supplement 233,Medication 137,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 472,Medication 45,low,Absorption reduction,C,Auto-generated interaction
Supplement 44,Medication 77,low,Absorption reduction,C,Auto-generated interaction
Supplement 594,Medication 95,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 804,Medication 106,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 481,Medication 120,high,Additive effect,B,Auto-generated interaction
Supplement 607,Medication 80,low,Absorption reduction,A,Auto-generated interaction
Supplement 69,Medication 131,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 185,Medication 72,low,Unknown,C,Auto-generated interaction
Supplement 843,Medication 2,high,Additive effect,C,Auto-generated interaction
Supplement 80,Medication 38,moderate,Unknown,B,Auto-generated interaction
Supplement 706,Medication 142,high,Absorption reduction,C,Auto-generated interaction
Supplement 640,Medication 66,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 160,Medication 128,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 736,Medication 12,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 100,Medication 138,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 734,Medication 4,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 652,Medication 106,low,Unknown,B,Auto-generated interaction
Supplement 83,Medication 38,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 96,Medication 99,moderate,Unknown,A,Auto-generated interaction
Supplement 444,Medication 99,high,Additive effect,A,Auto-generated interaction
Supplement 984,Medication 92,low,Additive effect,B,Auto-generated interaction
Supplement 683,Medication 30,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 160,Medication 19,moderate,Unknown,B,Auto-generated interaction
Supplement 426,Medication 107,low,Unknown,C,Auto-generated interaction
Supplement 358,Medication 113,high,Additive effect,A,Auto-generated interaction
Supplement 271,Medication 95,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 243,Medication 50,moderate,Additive effect,A,Auto-generated interaction
Supplement 326,Medication 146,severe,Additive effect,C,Auto-generated interaction
Supplement 645,Medication 126,moderate,Unknown,C,Auto-generated interaction
Supplement 570,Medication 121,severe,Unknown,A,Auto-generated interaction
Supplement 8,Medication 80,severe,Absorption reduction,C,Auto-generated interaction
Supplement 780,Medication 145,severe,Unknown,B,Auto-generated interaction
Supplement 705,Medication 20,severe,Unknown,C,Auto-generated interaction
Supplement 627,Medication 12,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 759,Medication 23,low,Additive effect,B,Auto-generated interaction
Supplement 291,Medication 59,low,Additive effect,C,Auto-generated interaction
Supplement 92,Medication 95,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 496,Medication 53,severe,Absorption reduction,C,Auto-generated interaction
Supplement 474,Medication 31,severe,Additive effect,B,Auto-generated interaction
Supplement 608,Medication 138,low,Additive effect,C,Auto-generated interaction
Supplement 744,Medication 90,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 534,Medication 95,high,Unknown,B,Auto-generated interaction
Supplement 146,Medication 74,severe,Absorption reduction,A,Auto-generated interaction
Supplement 362,Medication 145,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 815,Medication 137,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 257,Medication 133,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 481,Medication 5,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 791,Medication 98,severe,Additive effect,C,Auto-generated interaction
Supplement 68,Medication 84,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 349,Medication 44,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 72,Medication 139,high,Unknown,A,Auto-generated interaction
Supplement 912,Medication 53,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 679,Medication 89,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 537,Medication 29,severe,Additive effect,B,Auto-generated interaction
Supplement 492,Medication 124,moderate,Additive effect,C,Auto-generated interaction
Supplement 456,Medication 25,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 211,Medication 96,low,Additive effect,A,Auto-generated interaction
Supplement 769,Medication 4,high,Unknown,B,Auto-generated interaction
Supplement 102,Medication 17,high,Absorption reduction,A,Auto-generated interaction
Supplement 472,Medication 80,low,Additive effect,A,Auto-generated interaction
Supplement 903,Medication 143,severe,Additive effect,A,Auto-generated interaction
Supplement 918,Medication 6,high,Absorption reduction,B,Auto-generated interaction
Supplement 79,Medication 137,high,Absorption reduction,C,Auto-generated interaction
Supplement 515,Medication 104,low,Unknown,B,Auto-generated interaction
Supplement 408,Medication 98,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 312,Medication 78,low,Unknown,B,Auto-generated interaction
Supplement 442,Medication 116,moderate,Unknown,A,Auto-generated interaction
Supplement 8,Medication 129,low,Additive effect,C,Auto-generated interaction
Supplement 887,Medication 3,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 619,Medication 61,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 139,Medication 116,high,Absorption reduction,A,Auto-generated interaction
Supplement 267,Medication 74,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 104,Medication 68,high,Unknown,B,Auto-generated interaction
Supplement 179,Medication 49,severe,Unknown,B,Auto-generated interaction
Supplement 993,Medication 10,low,Unknown,B,Auto-generated interaction
Supplement 575,Medication 79,severe,Additive effect,A,Auto-generated interaction
Supplement 426,Medication 61,severe,Additive effect,C,Auto-generated interaction
Supplement 564,Medication 35,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 818,Medication 96,low,Absorption reduction,A,Auto-generated interaction
Supplement 19,Medication 109,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 575,Medication 73,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 36,Medication 58,high,Absorption reduction,A,Auto-generated interaction
Supplement 731,Medication 146,high,Absorption reduction,B,Auto-generated interaction
Supplement 835,Medication 68,low,Absorption reduction,B,Auto-generated interaction
Supplement 375,Medication 116,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 500,Medication 66,low,Additive effect,B,Auto-generated interaction
Supplement 797,Medication 39,moderate,Additive effect,A,Auto-generated interaction
Supplement 456,Medication 129,high,Additive effect,A,Auto-generated interaction
Supplement 167,Medication 27,high,Unknown,B,Auto-generated interaction
Supplement 725,Medication 40,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 532,Medication 68,low,Additive effect,B,Auto-generated interaction
Supplement 915,Medication 98,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 785,Medication 8,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 851,Medication 53,moderate,Unknown,A,Auto-generated interaction
Supplement 875,Medication 37,severe,Absorption reduction,C,Auto-generated interaction
Supplement 143,Medication 94,severe,Absorption reduction,C,Auto-generated interaction
Supplement 657,Medication 111,high,Absorption reduction,A,Auto-generated interaction
Supplement 887,Medication 44,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 963,Medication 18,high,Unknown,B,Auto-generated interaction
Supplement 230,Medication 41,severe,Additive effect,B,Auto-generated interaction
Supplement 449,Medication 119,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 553,Medication 29,moderate,Unknown,C,Auto-generated interaction
Supplement 690,Medication 133,moderate,Additive effect,A,Auto-generated interaction
Supplement 2,Medication 38,low,Unknown,B,Auto-generated interaction
Supplement 796,Medication 1,low,Unknown,A,Auto-generated interaction
Supplement 445,Medication 47,high,Additive effect,C,Auto-generated interaction
Supplement 975,Medication 1,high,Unknown,B,Auto-generated interaction
Supplement 326,Medication 97,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 975,Medication 111,low,Additive effect,B,Auto-generated interaction
Supplement 625,Medication 56,severe,Unknown,B,Auto-generated interaction
Supplement 629,Medication 8,moderate,Unknown,B,Auto-generated interaction
Supplement 584,Medication 31,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 374,Medication 40,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 432,Medication 4,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 228,Medication 1,high,Additive effect,C,Auto-generated interaction
Supplement 20,Medication 149,severe,Absorption reduction,B,Auto-generated interaction
Supplement 701,Medication 131,severe,Unknown,B,Auto-generated interaction
Supplement 397,Medication 93,low,Absorption reduction,C,Auto-generated interaction
Supplement 313,Medication 84,severe,Absorption reduction,A,Auto-generated interaction
Supplement 527,Medication 26,severe,Unknown,A,Auto-generated interaction
Supplement 418,Medication 65,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 733,Medication 11,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 503,Medication 39,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 207,Medication 148,high,Absorption reduction,B,Auto-generated interaction
Supplement 104,Medication 68,moderate,Unknown,C,Auto-generated interaction
Supplement 976,Medication 12,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 584,Medication 123,high,Unknown,A,Auto-generated interaction
Supplement 135,Medication 28,moderate,Additive effect,A,Auto-generated interaction
Supplement 18,Medication 56,high,Additive effect,A,Auto-generated interaction
Supplement 302,Medication 5,moderate,Additive effect,A,Auto-generated interaction
Supplement 672,Medication 144,high,Unknown,A,Auto-generated interaction
Supplement 650,Medication 109,severe,Unknown,C,Auto-generated interaction
Supplement 617,Medication 4,low,Unknown,A,Auto-generated interaction
Supplement 434,Medication 32,moderate,Additive effect,C,Auto-generated interaction
Supplement 354,Medication 58,severe,Unknown,C,Auto-generated interaction
Supplement 774,Medication 3,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 456,Medication 140,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 907,Medication 119,moderate,Additive effect,A,Auto-generated interaction
Supplement 82,Medication 84,severe,Additive effect,A,Auto-generated interaction
Supplement 405,Medication 82,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 886,Medication 43,low,Additive effect,A,Auto-generated interaction
Supplement 478,Medication 148,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 746,Medication 77,severe,Additive effect,B,Auto-generated interaction
Supplement 557,Medication 147,high,Additive effect,A,Auto-generated interaction
Supplement 596,Medication 121,low,Absorption reduction,C,Auto-generated interaction
Supplement 648,Medication 67,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 91,Medication 125,severe,Absorption reduction,A,Auto-generated interaction
Supplement 848,Medication 3,low,Unknown,A,Auto-generated interaction
Supplement 957,Medication 78,moderate,Unknown,A,Auto-generated interaction
Supplement 756,Medication 98,severe,Additive effect,A,Auto-generated interaction
Supplement 340,Medication 144,severe,Additive effect,B,Auto-generated interaction
Supplement 624,Medication 11,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 498,Medication 71,low,Additive effect,C,Auto-generated interaction
Supplement 271,Medication 142,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 56,Medication 54,high,Unknown,A,Auto-generated interaction
Supplement 465,Medication 139,high,Absorption reduction,B,Auto-generated interaction
Supplement 127,Medication 115,high,Additive effect,A,Auto-generated interaction
Supplement 9,Medication 118,high,Unknown,A,Auto-generated interaction
Supplement 13,Medication 43,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 237,Medication 115,severe,Unknown,C,Auto-generated interaction
Supplement 529,Medication 23,high,Absorption reduction,A,Auto-generated interaction
Supplement 133,Medication 52,high,Additive effect,A,Auto-generated interaction
Supplement 124,Medication 74,low,Unknown,C,Auto-generated interaction
Supplement 862,Medication 24,high,Additive effect,C,Auto-generated interaction
Supplement 758,Medication 99,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 771,Medication 96,high,Unknown,A,Auto-generated interaction
Supplement 155,Medication 56,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 980,Medication 104,moderate,Additive effect,B,Auto-generated interaction
Supplement 448,Medication 62,severe,Metabolism inhibition,C,Auto-generated interaction
