supplement_id,medication_id,severity,mechanism,evidence,notes
340,94,Moderate,Metabolism inhibition,A,Auto-generated interaction
284,141,Moderate,Absorption reduction,B,Auto-generated interaction
693,3,Severe,Metabolism inhibition,A,Auto-generated interaction
553,93,Low,Unknown,A,Auto-generated interaction
801,75,Low,Unknown,B,Auto-generated interaction
523,101,High,Unknown,C,Auto-generated interaction
964,49,Moderate,Additive effect,A,Auto-generated interaction
616,94,Severe,Metabolism inhibition,C,Auto-generated interaction
692,120,High,Absorption reduction,C,Auto-generated interaction
137,89,Moderate,Metabolism inhibition,B,Auto-generated interaction
23,81,Moderate,Additive effect,A,Auto-generated interaction
439,103,Moderate,Metabolism inhibition,A,Auto-generated interaction
600,119,Severe,Absorption reduction,A,Auto-generated interaction
117,63,Low,Additive effect,C,Auto-generated interaction
63,4,Low,Unknown,B,Auto-generated interaction
404,56,High,Additive effect,C,Auto-generated interaction
882,41,Low,Unknown,C,Auto-generated interaction
348,60,Moderate,Unknown,C,Auto-generated interaction
858,6,High,Absorption reduction,B,Auto-generated interaction
224,71,Moderate,Additive effect,B,Auto-generated interaction
649,112,Moderate,Unknown,B,Auto-generated interaction
749,18,Low,Absorption reduction,B,Auto-generated interaction
250,80,High,Additive effect,B,Auto-generated interaction
339,37,High,Absorption reduction,C,Auto-generated interaction
285,51,Low,Metabolism inhibition,A,Auto-generated interaction
776,119,High,Absorption reduction,C,Auto-generated interaction
376,110,High,Absorption reduction,B,Auto-generated interaction
581,28,Low,Metabolism inhibition,A,Auto-generated interaction
825,94,Low,Additive effect,A,Auto-generated interaction
551,77,Moderate,Unknown,B,Auto-generated interaction
182,116,High,Metabolism inhibition,C,Auto-generated interaction
832,139,Moderate,Unknown,C,Auto-generated interaction
383,89,High,Additive effect,C,Auto-generated interaction
464,110,High,Additive effect,C,Auto-generated interaction
278,54,Low,Absorption reduction,B,Auto-generated interaction
307,44,High,Unknown,B,Auto-generated interaction
821,77,Moderate,Absorption reduction,C,Auto-generated interaction
723,81,High,Additive effect,A,Auto-generated interaction
902,145,Moderate,Metabolism inhibition,C,Auto-generated interaction
372,107,High,Additive effect,C,Auto-generated interaction
908,82,High,Absorption reduction,C,Auto-generated interaction
138,56,Severe,Unknown,C,Auto-generated interaction
369,1,Low,Absorption reduction,C,Auto-generated interaction
477,122,Moderate,Additive effect,C,Auto-generated interaction
160,59,Severe,Unknown,B,Auto-generated interaction
354,56,Severe,Additive effect,A,Auto-generated interaction
44,103,Moderate,Additive effect,B,Auto-generated interaction
709,104,Moderate,Absorption reduction,B,Auto-generated interaction
789,116,High,Metabolism inhibition,A,Auto-generated interaction
571,25,Moderate,Unknown,B,Auto-generated interaction
526,72,Low,Unknown,B,Auto-generated interaction
687,28,Moderate,Additive effect,C,Auto-generated interaction
167,27,Low,Unknown,B,Auto-generated interaction
198,150,High,Metabolism inhibition,B,Auto-generated interaction
628,84,Severe,Additive effect,B,Auto-generated interaction
785,14,Severe,Additive effect,A,Auto-generated interaction
428,73,High,Additive effect,A,Auto-generated interaction
846,146,Severe,Unknown,C,Auto-generated interaction
371,149,Low,Unknown,B,Auto-generated interaction
101,38,High,Additive effect,A,Auto-generated interaction
255,14,Low,Absorption reduction,A,Auto-generated interaction
385,125,Low,Additive effect,B,Auto-generated interaction
257,137,Severe,Unknown,A,Auto-generated interaction
44,93,Low,Metabolism inhibition,B,Auto-generated interaction
63,125,High,Additive effect,C,Auto-generated interaction
937,80,High,Additive effect,A,Auto-generated interaction
582,122,High,Absorption reduction,B,Auto-generated interaction
292,120,Low,Metabolism inhibition,B,Auto-generated interaction
801,16,Severe,Metabolism inhibition,B,Auto-generated interaction
731,27,High,Metabolism inhibition,A,Auto-generated interaction
27,75,High,Unknown,C,Auto-generated interaction
650,83,Moderate,Unknown,C,Auto-generated interaction
542,25,High,Unknown,A,Auto-generated interaction
156,148,Moderate,Additive effect,A,Auto-generated interaction
578,130,High,Additive effect,A,Auto-generated interaction
747,144,Severe,Absorption reduction,C,Auto-generated interaction
672,51,High,Metabolism inhibition,C,Auto-generated interaction
871,49,Low,Metabolism inhibition,A,Auto-generated interaction
374,49,Moderate,Metabolism inhibition,C,Auto-generated interaction
315,102,Low,Additive effect,A,Auto-generated interaction
757,93,Severe,Absorption reduction,A,Auto-generated interaction
35,79,Moderate,Absorption reduction,A,Auto-generated interaction
328,109,Severe,Additive effect,C,Auto-generated interaction
535,55,Moderate,Unknown,B,Auto-generated interaction
51,78,Severe,Unknown,B,Auto-generated interaction
56,13,High,Metabolism inhibition,B,Auto-generated interaction
482,4,Low,Absorption reduction,A,Auto-generated interaction
97,78,Severe,Additive effect,B,Auto-generated interaction
603,9,Severe,Unknown,A,Auto-generated interaction
552,90,High,Metabolism inhibition,A,Auto-generated interaction
788,88,Moderate,Additive effect,B,Auto-generated interaction
933,135,Moderate,Unknown,C,Auto-generated interaction
889,25,Low,Absorption reduction,B,Auto-generated interaction
674,72,High,Additive effect,C,Auto-generated interaction
863,9,High,Unknown,C,Auto-generated interaction
12,45,Moderate,Metabolism inhibition,A,Auto-generated interaction
647,76,Severe,Unknown,C,Auto-generated interaction
53,123,High,Unknown,A,Auto-generated interaction
39,102,High,Additive effect,B,Auto-generated interaction
470,2,Severe,Additive effect,C,Auto-generated interaction
269,35,Severe,Absorption reduction,B,Auto-generated interaction
874,77,Low,Unknown,C,Auto-generated interaction
251,136,High,Unknown,B,Auto-generated interaction
504,142,High,Metabolism inhibition,C,Auto-generated interaction
719,88,Low,Unknown,A,Auto-generated interaction
749,128,High,Absorption reduction,C,Auto-generated interaction
882,85,Moderate,Additive effect,B,Auto-generated interaction
271,10,Severe,Unknown,B,Auto-generated interaction
60,130,High,Unknown,B,Auto-generated interaction
447,79,Moderate,Absorption reduction,B,Auto-generated interaction
384,13,High,Absorption reduction,C,Auto-generated interaction
239,5,Moderate,Metabolism inhibition,A,Auto-generated interaction
829,101,High,Unknown,A,Auto-generated interaction
105,58,Moderate,Unknown,C,Auto-generated interaction
85,12,Moderate,Metabolism inhibition,B,Auto-generated interaction
509,105,Severe,Additive effect,B,Auto-generated interaction
368,142,High,Absorption reduction,C,Auto-generated interaction
413,27,Moderate,Absorption reduction,A,Auto-generated interaction
181,143,Severe,Absorption reduction,B,Auto-generated interaction
712,47,High,Additive effect,C,Auto-generated interaction
301,35,Low,Unknown,C,Auto-generated interaction
32,89,Moderate,Unknown,A,Auto-generated interaction
406,73,Moderate,Absorption reduction,A,Auto-generated interaction
673,51,Moderate,Additive effect,A,Auto-generated interaction
921,41,Moderate,Absorption reduction,C,Auto-generated interaction
903,114,High,Unknown,B,Auto-generated interaction
621,64,Low,Unknown,B,Auto-generated interaction
340,120,Low,Unknown,B,Auto-generated interaction
896,34,High,Additive effect,B,Auto-generated interaction
717,75,Low,Additive effect,B,Auto-generated interaction
169,133,Low,Metabolism inhibition,A,Auto-generated interaction
914,136,Severe,Absorption reduction,B,Auto-generated interaction
638,4,Moderate,Absorption reduction,A,Auto-generated interaction
938,10,Moderate,Metabolism inhibition,B,Auto-generated interaction
470,59,High,Unknown,B,Auto-generated interaction
598,113,High,Additive effect,B,Auto-generated interaction
481,110,Severe,Unknown,A,Auto-generated interaction
677,132,Low,Metabolism inhibition,B,Auto-generated interaction
444,52,High,Absorption reduction,A,Auto-generated interaction
942,54,Low,Metabolism inhibition,B,Auto-generated interaction
860,111,Moderate,Unknown,A,Auto-generated interaction
990,37,Moderate,Absorption reduction,C,Auto-generated interaction
784,66,Low,Absorption reduction,B,Auto-generated interaction
520,112,High,Metabolism inhibition,C,Auto-generated interaction
142,142,Moderate,Absorption reduction,A,Auto-generated interaction
965,24,Low,Metabolism inhibition,A,Auto-generated interaction
161,32,Moderate,Additive effect,C,Auto-generated interaction
233,44,Moderate,Metabolism inhibition,C,Auto-generated interaction
803,120,Severe,Metabolism inhibition,A,Auto-generated interaction
226,129,Severe,Unknown,A,Auto-generated interaction
383,71,High,Additive effect,B,Auto-generated interaction
869,86,Moderate,Unknown,C,Auto-generated interaction
122,55,Low,Metabolism inhibition,C,Auto-generated interaction
563,127,High,Metabolism inhibition,A,Auto-generated interaction
98,140,High,Unknown,A,Auto-generated interaction
38,28,Moderate,Unknown,A,Auto-generated interaction
980,4,High,Metabolism inhibition,B,Auto-generated interaction
733,21,High,Absorption reduction,C,Auto-generated interaction
783,76,Low,Additive effect,C,Auto-generated interaction
291,141,Moderate,Unknown,B,Auto-generated interaction
491,42,Low,Additive effect,C,Auto-generated interaction
692,136,High,Unknown,C,Auto-generated interaction
506,72,Low,Metabolism inhibition,C,Auto-generated interaction
1000,98,Moderate,Absorption reduction,C,Auto-generated interaction
930,33,Severe,Absorption reduction,C,Auto-generated interaction
847,88,Low,Metabolism inhibition,C,Auto-generated interaction
397,102,Low,Absorption reduction,B,Auto-generated interaction
292,37,Severe,Additive effect,A,Auto-generated interaction
559,103,Severe,Additive effect,C,Auto-generated interaction
841,111,Moderate,Additive effect,C,Auto-generated interaction
8,36,Severe,Absorption reduction,B,Auto-generated interaction
9,34,Low,Unknown,B,Auto-generated interaction
874,36,Severe,Additive effect,B,Auto-generated interaction
291,141,Moderate,Unknown,C,Auto-generated interaction
292,3,High,Metabolism inhibition,B,Auto-generated interaction
481,100,Moderate,Absorption reduction,A,Auto-generated interaction
55,67,Low,Absorption reduction,B,Auto-generated interaction
16,78,Moderate,Unknown,A,Auto-generated interaction
446,30,Moderate,Metabolism inhibition,C,Auto-generated interaction
975,122,High,Additive effect,C,Auto-generated interaction
728,85,High,Unknown,B,Auto-generated interaction
736,69,High,Unknown,A,Auto-generated interaction
961,116,Severe,Absorption reduction,C,Auto-generated interaction
748,132,Severe,Metabolism inhibition,B,Auto-generated interaction
126,72,Low,Additive effect,A,Auto-generated interaction
278,129,Moderate,Unknown,A,Auto-generated interaction
939,4,Low,Unknown,B,Auto-generated interaction
876,90,Severe,Unknown,C,Auto-generated interaction
943,79,Severe,Metabolism inhibition,A,Auto-generated interaction
513,9,High,Absorption reduction,A,Auto-generated interaction
202,93,High,Additive effect,C,Auto-generated interaction
130,114,Moderate,Absorption reduction,B,Auto-generated interaction
638,93,Severe,Unknown,B,Auto-generated interaction
233,137,Low,Metabolism inhibition,C,Auto-generated interaction
472,45,Low,Absorption reduction,C,Auto-generated interaction
44,77,Low,Absorption reduction,C,Auto-generated interaction
594,95,High,Metabolism inhibition,A,Auto-generated interaction
804,106,Moderate,Absorption reduction,B,Auto-generated interaction
481,120,High,Additive effect,B,Auto-generated interaction
607,80,Low,Absorption reduction,A,Auto-generated interaction
69,131,Low,Metabolism inhibition,C,Auto-generated interaction
185,72,Low,Unknown,C,Auto-generated interaction
843,2,High,Additive effect,C,Auto-generated interaction
80,38,Moderate,Unknown,B,Auto-generated interaction
706,142,High,Absorption reduction,C,Auto-generated interaction
640,66,Moderate,Absorption reduction,B,Auto-generated interaction
160,128,Severe,Metabolism inhibition,C,Auto-generated interaction
736,12,Moderate,Metabolism inhibition,B,Auto-generated interaction
100,138,Low,Metabolism inhibition,C,Auto-generated interaction
734,4,Low,Metabolism inhibition,A,Auto-generated interaction
652,106,Low,Unknown,B,Auto-generated interaction
83,38,Moderate,Absorption reduction,B,Auto-generated interaction
96,99,Moderate,Unknown,A,Auto-generated interaction
444,99,High,Additive effect,A,Auto-generated interaction
984,92,Low,Additive effect,B,Auto-generated interaction
683,30,Moderate,Absorption reduction,C,Auto-generated interaction
160,19,Moderate,Unknown,B,Auto-generated interaction
426,107,Low,Unknown,C,Auto-generated interaction
358,113,High,Additive effect,A,Auto-generated interaction
271,95,Severe,Metabolism inhibition,B,Auto-generated interaction
243,50,Moderate,Additive effect,A,Auto-generated interaction
326,146,Severe,Additive effect,C,Auto-generated interaction
645,126,Moderate,Unknown,C,Auto-generated interaction
570,121,Severe,Unknown,A,Auto-generated interaction
8,80,Severe,Absorption reduction,C,Auto-generated interaction
780,145,Severe,Unknown,B,Auto-generated interaction
705,20,Severe,Unknown,C,Auto-generated interaction
627,12,Moderate,Metabolism inhibition,A,Auto-generated interaction
759,23,Low,Additive effect,B,Auto-generated interaction
291,59,Low,Additive effect,C,Auto-generated interaction
92,95,High,Metabolism inhibition,B,Auto-generated interaction
496,53,Severe,Absorption reduction,C,Auto-generated interaction
474,31,Severe,Additive effect,B,Auto-generated interaction
608,138,Low,Additive effect,C,Auto-generated interaction
744,90,High,Metabolism inhibition,C,Auto-generated interaction
534,95,High,Unknown,B,Auto-generated interaction
146,74,Severe,Absorption reduction,A,Auto-generated interaction
362,145,Moderate,Absorption reduction,A,Auto-generated interaction
815,137,Moderate,Metabolism inhibition,C,Auto-generated interaction
257,133,Moderate,Absorption reduction,A,Auto-generated interaction
481,5,Moderate,Absorption reduction,A,Auto-generated interaction
791,98,Severe,Additive effect,C,Auto-generated interaction
68,84,High,Metabolism inhibition,B,Auto-generated interaction
349,44,Severe,Metabolism inhibition,C,Auto-generated interaction
72,139,High,Unknown,A,Auto-generated interaction
912,53,Moderate,Metabolism inhibition,B,Auto-generated interaction
679,89,Severe,Metabolism inhibition,C,Auto-generated interaction
537,29,Severe,Additive effect,B,Auto-generated interaction
492,124,Moderate,Additive effect,C,Auto-generated interaction
456,25,Severe,Metabolism inhibition,A,Auto-generated interaction
211,96,Low,Additive effect,A,Auto-generated interaction
769,4,High,Unknown,B,Auto-generated interaction
102,17,High,Absorption reduction,A,Auto-generated interaction
472,80,Low,Additive effect,A,Auto-generated interaction
903,143,Severe,Additive effect,A,Auto-generated interaction
918,6,High,Absorption reduction,B,Auto-generated interaction
79,137,High,Absorption reduction,C,Auto-generated interaction
515,104,Low,Unknown,B,Auto-generated interaction
408,98,Severe,Metabolism inhibition,C,Auto-generated interaction
312,78,Low,Unknown,B,Auto-generated interaction
442,116,Moderate,Unknown,A,Auto-generated interaction
8,129,Low,Additive effect,C,Auto-generated interaction
887,3,Moderate,Absorption reduction,B,Auto-generated interaction
619,61,Low,Metabolism inhibition,A,Auto-generated interaction
139,116,High,Absorption reduction,A,Auto-generated interaction
267,74,Moderate,Metabolism inhibition,A,Auto-generated interaction
104,68,High,Unknown,B,Auto-generated interaction
179,49,Severe,Unknown,B,Auto-generated interaction
993,10,Low,Unknown,B,Auto-generated interaction
575,79,Severe,Additive effect,A,Auto-generated interaction
426,61,Severe,Additive effect,C,Auto-generated interaction
564,35,Moderate,Absorption reduction,C,Auto-generated interaction
818,96,Low,Absorption reduction,A,Auto-generated interaction
19,109,Severe,Metabolism inhibition,A,Auto-generated interaction
575,73,Low,Metabolism inhibition,C,Auto-generated interaction
36,58,High,Absorption reduction,A,Auto-generated interaction
731,146,High,Absorption reduction,B,Auto-generated interaction
835,68,Low,Absorption reduction,B,Auto-generated interaction
375,116,High,Metabolism inhibition,B,Auto-generated interaction
500,66,Low,Additive effect,B,Auto-generated interaction
797,39,Moderate,Additive effect,A,Auto-generated interaction
456,129,High,Additive effect,A,Auto-generated interaction
167,27,High,Unknown,B,Auto-generated interaction
725,40,Severe,Metabolism inhibition,C,Auto-generated interaction
532,68,Low,Additive effect,B,Auto-generated interaction
915,98,Severe,Metabolism inhibition,B,Auto-generated interaction
785,8,Moderate,Metabolism inhibition,B,Auto-generated interaction
851,53,Moderate,Unknown,A,Auto-generated interaction
875,37,Severe,Absorption reduction,C,Auto-generated interaction
143,94,Severe,Absorption reduction,C,Auto-generated interaction
657,111,High,Absorption reduction,A,Auto-generated interaction
887,44,High,Metabolism inhibition,C,Auto-generated interaction
963,18,High,Unknown,B,Auto-generated interaction
230,41,Severe,Additive effect,B,Auto-generated interaction
449,119,High,Metabolism inhibition,A,Auto-generated interaction
553,29,Moderate,Unknown,C,Auto-generated interaction
690,133,Moderate,Additive effect,A,Auto-generated interaction
2,38,Low,Unknown,B,Auto-generated interaction
796,1,Low,Unknown,A,Auto-generated interaction
445,47,High,Additive effect,C,Auto-generated interaction
975,1,High,Unknown,B,Auto-generated interaction
326,97,Moderate,Metabolism inhibition,A,Auto-generated interaction
975,111,Low,Additive effect,B,Auto-generated interaction
625,56,Severe,Unknown,B,Auto-generated interaction
629,8,Moderate,Unknown,B,Auto-generated interaction
584,31,Low,Metabolism inhibition,B,Auto-generated interaction
374,40,Moderate,Metabolism inhibition,A,Auto-generated interaction
432,4,Severe,Metabolism inhibition,A,Auto-generated interaction
228,1,High,Additive effect,C,Auto-generated interaction
20,149,Severe,Absorption reduction,B,Auto-generated interaction
701,131,Severe,Unknown,B,Auto-generated interaction
397,93,Low,Absorption reduction,C,Auto-generated interaction
313,84,Severe,Absorption reduction,A,Auto-generated interaction
527,26,Severe,Unknown,A,Auto-generated interaction
418,65,Severe,Metabolism inhibition,B,Auto-generated interaction
733,11,Severe,Metabolism inhibition,C,Auto-generated interaction
503,39,Moderate,Metabolism inhibition,C,Auto-generated interaction
207,148,High,Absorption reduction,B,Auto-generated interaction
104,68,Moderate,Unknown,C,Auto-generated interaction
976,12,Moderate,Metabolism inhibition,C,Auto-generated interaction
584,123,High,Unknown,A,Auto-generated interaction
135,28,Moderate,Additive effect,A,Auto-generated interaction
18,56,High,Additive effect,A,Auto-generated interaction
302,5,Moderate,Additive effect,A,Auto-generated interaction
672,144,High,Unknown,A,Auto-generated interaction
650,109,Severe,Unknown,C,Auto-generated interaction
617,4,Low,Unknown,A,Auto-generated interaction
434,32,Moderate,Additive effect,C,Auto-generated interaction
354,58,Severe,Unknown,C,Auto-generated interaction
774,3,High,Metabolism inhibition,A,Auto-generated interaction
456,140,Severe,Metabolism inhibition,C,Auto-generated interaction
907,119,Moderate,Additive effect,A,Auto-generated interaction
82,84,Severe,Additive effect,A,Auto-generated interaction
405,82,Severe,Metabolism inhibition,B,Auto-generated interaction
886,43,Low,Additive effect,A,Auto-generated interaction
478,148,Severe,Metabolism inhibition,B,Auto-generated interaction
746,77,Severe,Additive effect,B,Auto-generated interaction
557,147,High,Additive effect,A,Auto-generated interaction
596,121,Low,Absorption reduction,C,Auto-generated interaction
648,67,High,Metabolism inhibition,B,Auto-generated interaction
91,125,Severe,Absorption reduction,A,Auto-generated interaction
848,3,Low,Unknown,A,Auto-generated interaction
957,78,Moderate,Unknown,A,Auto-generated interaction
756,98,Severe,Additive effect,A,Auto-generated interaction
340,144,Severe,Additive effect,B,Auto-generated interaction
624,11,Moderate,Metabolism inhibition,A,Auto-generated interaction
498,71,Low,Additive effect,C,Auto-generated interaction
271,142,Low,Metabolism inhibition,B,Auto-generated interaction
56,54,High,Unknown,A,Auto-generated interaction
465,139,High,Absorption reduction,B,Auto-generated interaction
127,115,High,Additive effect,A,Auto-generated interaction
9,118,High,Unknown,A,Auto-generated interaction
13,43,Severe,Metabolism inhibition,B,Auto-generated interaction
237,115,Severe,Unknown,C,Auto-generated interaction
529,23,High,Absorption reduction,A,Auto-generated interaction
133,52,High,Additive effect,A,Auto-generated interaction
124,74,Low,Unknown,C,Auto-generated interaction
862,24,High,Additive effect,C,Auto-generated interaction
758,99,Moderate,Metabolism inhibition,A,Auto-generated interaction
771,96,High,Unknown,A,Auto-generated interaction
155,56,Moderate,Absorption reduction,C,Auto-generated interaction
980,104,Moderate,Additive effect,B,Auto-generated interaction
448,62,Severe,Metabolism inhibition,C,Auto-generated interaction
859,43,Moderate,Additive effect,A,Auto-generated interaction
655,25,Severe,Absorption reduction,B,Auto-generated interaction
631,29,High,Additive effect,A,Auto-generated interaction
590,49,High,Unknown,A,Auto-generated interaction
565,97,High,Absorption reduction,A,Auto-generated interaction
900,26,Moderate,Additive effect,A,Auto-generated interaction
149,129,Severe,Additive effect,C,Auto-generated interaction
708,132,High,Unknown,C,Auto-generated interaction
117,46,Moderate,Metabolism inhibition,B,Auto-generated interaction
934,127,Moderate,Unknown,C,Auto-generated interaction
518,86,Low,Additive effect,A,Auto-generated interaction
566,85,High,Additive effect,A,Auto-generated interaction
822,92,Low,Unknown,B,Auto-generated interaction
861,58,High,Unknown,B,Auto-generated interaction
565,15,Low,Unknown,B,Auto-generated interaction
360,108,Severe,Absorption reduction,C,Auto-generated interaction
600,74,Severe,Unknown,B,Auto-generated interaction
757,134,Severe,Absorption reduction,A,Auto-generated interaction
685,35,Low,Unknown,C,Auto-generated interaction
959,41,Severe,Additive effect,C,Auto-generated interaction
779,46,Low,Additive effect,B,Auto-generated interaction
453,82,Severe,Absorption reduction,B,Auto-generated interaction
879,145,Severe,Absorption reduction,A,Auto-generated interaction
546,80,Severe,Absorption reduction,A,Auto-generated interaction
754,122,High,Metabolism inhibition,B,Auto-generated interaction
299,135,Moderate,Additive effect,B,Auto-generated interaction
434,66,Severe,Absorption reduction,C,Auto-generated interaction
451,105,Moderate,Absorption reduction,B,Auto-generated interaction
650,18,Low,Unknown,A,Auto-generated interaction
23,20,Severe,Additive effect,B,Auto-generated interaction
735,79,High,Unknown,A,Auto-generated interaction
528,61,Low,Unknown,C,Auto-generated interaction
922,11,Moderate,Absorption reduction,B,Auto-generated interaction
558,98,Low,Metabolism inhibition,A,Auto-generated interaction
244,91,High,Unknown,A,Auto-generated interaction
644,72,Severe,Additive effect,B,Auto-generated interaction
88,95,Low,Metabolism inhibition,B,Auto-generated interaction
179,89,Severe,Absorption reduction,B,Auto-generated interaction
150,94,Severe,Additive effect,B,Auto-generated interaction
810,124,High,Additive effect,C,Auto-generated interaction
613,43,High,Additive effect,C,Auto-generated interaction
105,42,Severe,Unknown,C,Auto-generated interaction
93,134,High,Unknown,B,Auto-generated interaction
382,24,High,Additive effect,B,Auto-generated interaction
748,109,Severe,Unknown,B,Auto-generated interaction
350,51,Low,Absorption reduction,B,Auto-generated interaction
144,91,High,Additive effect,C,Auto-generated interaction
287,87,Moderate,Absorption reduction,A,Auto-generated interaction
381,103,Low,Unknown,C,Auto-generated interaction
898,129,Low,Absorption reduction,B,Auto-generated interaction
966,19,Severe,Metabolism inhibition,B,Auto-generated interaction
548,146,Moderate,Metabolism inhibition,B,Auto-generated interaction
576,40,Moderate,Additive effect,C,Auto-generated interaction
33,126,High,Metabolism inhibition,C,Auto-generated interaction
756,51,Moderate,Additive effect,B,Auto-generated interaction
564,97,Severe,Absorption reduction,A,Auto-generated interaction
165,101,Moderate,Additive effect,A,Auto-generated interaction
105,109,Moderate,Metabolism inhibition,B,Auto-generated interaction
439,68,High,Unknown,C,Auto-generated interaction
93,55,Severe,Additive effect,A,Auto-generated interaction
401,116,Severe,Unknown,A,Auto-generated interaction
872,145,Severe,Metabolism inhibition,C,Auto-generated interaction
514,138,Severe,Metabolism inhibition,A,Auto-generated interaction
128,105,Low,Additive effect,A,Auto-generated interaction
672,49,Severe,Unknown,B,Auto-generated interaction
735,131,Moderate,Absorption reduction,C,Auto-generated interaction
138,139,Low,Metabolism inhibition,A,Auto-generated interaction
170,78,Low,Absorption reduction,A,Auto-generated interaction
136,31,Moderate,Absorption reduction,B,Auto-generated interaction
610,137,Low,Unknown,A,Auto-generated interaction
228,61,High,Additive effect,C,Auto-generated interaction
957,76,Low,Metabolism inhibition,A,Auto-generated interaction
937,119,Severe,Unknown,B,Auto-generated interaction
696,129,Low,Absorption reduction,A,Auto-generated interaction
978,39,High,Additive effect,B,Auto-generated interaction
107,112,High,Absorption reduction,A,Auto-generated interaction
597,99,Low,Metabolism inhibition,B,Auto-generated interaction
176,10,High,Additive effect,A,Auto-generated interaction
679,51,Low,Additive effect,A,Auto-generated interaction
292,20,Low,Additive effect,C,Auto-generated interaction
59,74,Severe,Metabolism inhibition,C,Auto-generated interaction
470,38,Moderate,Additive effect,B,Auto-generated interaction
923,90,High,Additive effect,B,Auto-generated interaction
672,102,Severe,Unknown,A,Auto-generated interaction
45,39,Low,Absorption reduction,A,Auto-generated interaction
461,130,High,Unknown,A,Auto-generated interaction
682,10,Severe,Absorption reduction,A,Auto-generated interaction
703,107,High,Unknown,B,Auto-generated interaction
265,35,Severe,Unknown,B,Auto-generated interaction
637,107,High,Metabolism inhibition,C,Auto-generated interaction
777,53,Low,Metabolism inhibition,C,Auto-generated interaction
991,12,Low,Metabolism inhibition,B,Auto-generated interaction
88,22,Severe,Metabolism inhibition,B,Auto-generated interaction
836,138,Severe,Absorption reduction,C,Auto-generated interaction
800,87,Moderate,Additive effect,C,Auto-generated interaction
645,126,Severe,Absorption reduction,C,Auto-generated interaction
431,83,Severe,Unknown,B,Auto-generated interaction
369,15,Moderate,Unknown,B,Auto-generated interaction
851,47,Severe,Unknown,A,Auto-generated interaction
247,115,Low,Metabolism inhibition,A,Auto-generated interaction
355,10,High,Absorption reduction,A,Auto-generated interaction
886,131,Severe,Unknown,C,Auto-generated interaction
261,2,Moderate,Unknown,A,Auto-generated interaction
999,16,High,Metabolism inhibition,B,Auto-generated interaction
479,139,Moderate,Absorption reduction,A,Auto-generated interaction
843,100,Moderate,Metabolism inhibition,C,Auto-generated interaction
960,79,High,Metabolism inhibition,B,Auto-generated interaction
767,133,Low,Absorption reduction,B,Auto-generated interaction
573,124,Low,Unknown,C,Auto-generated interaction
821,46,Low,Absorption reduction,B,Auto-generated interaction
286,94,Moderate,Absorption reduction,B,Auto-generated interaction
66,100,Severe,Unknown,B,Auto-generated interaction
577,133,Low,Absorption reduction,A,Auto-generated interaction
797,14,Severe,Absorption reduction,A,Auto-generated interaction
912,90,High,Absorption reduction,A,Auto-generated interaction
183,99,Moderate,Additive effect,B,Auto-generated interaction
904,137,High,Unknown,C,Auto-generated interaction
253,37,Severe,Additive effect,A,Auto-generated interaction
142,23,High,Metabolism inhibition,C,Auto-generated interaction
11,1,Severe,Unknown,C,Auto-generated interaction
53,147,Low,Unknown,C,Auto-generated interaction
535,106,Severe,Additive effect,A,Auto-generated interaction
851,123,Low,Additive effect,C,Auto-generated interaction
952,43,Severe,Metabolism inhibition,B,Auto-generated interaction
182,149,High,Unknown,C,Auto-generated interaction
